employee_id,age,gender,marital_status,education_level,department,job_role,job_level,monthly_income,stock_option_level,salary_hike_pct,years_at_company,total_working_years,years_since_promotion,num_prior_companies,work_mode,commute_minutes,overtime_hours_per_week,business_travel_days_per_year,training_hours,manager_support_score,burnout_score,engagement_score,work_life_balance_score,performance_rating,last_review_score,uses_ai_tools_at_work,perceived_ai_job_risk,attrition
1001,37,Male,Divorced,Masters,Engineering,Engineering Manager,3,7365,0,14.1,7.3,15.9,1.5,3,Remote,5,2.4,6,17,9.4,1,9.7,7.7,3,8.3,TRUE,4.8,No
1002,24,Female,Married,Bachelors,Finance,Finance Manager,2,4746,2,7.9,3,4,2.5,3,Onsite,7,4.1,5,21,4.2,1.9,5.4,7.8,3,8,TRUE,2.9,Yes
1003,24,Female,Single,Bachelors,Marketing,Marketing Specialist,1,2740,2,12.8,3,4,1.3,3,Hybrid,28,3.3,7,22,7.5,5.3,6.5,7,4,9.5,TRUE,7.2,No
1004,44,Male,Single,Bachelors,Sales,Sales Manager,4,7334,1,12.8,9.2,12.5,0.5,0,Hybrid,19,12,21,21,8.7,4.3,7.3,3.5,4,7.9,FALSE,5.2,No
1005,37,Female,Divorced,Bachelors,Sales,Sales Development Rep,3,9096,0,10.6,4.9,10.5,0.2,0,Hybrid,36,4.9,20,20,7.5,2.3,7,7.2,4,8.5,FALSE,6.4,No
1006,25,Male,Married,Bachelors,Customer Support,Support Specialist,2,4052,1,11.4,1.7,5,1.2,1,Remote,3,8.9,10,13,6.8,4.5,8.2,7,4,7.9,TRUE,7.3,No
1007,47,Female,Divorced,PhD,Customer Support,Support Specialist,3,5097,0,12.1,1.4,9.8,1.1,3,Hybrid,78,7.2,5,7,10,3.8,6.2,6.9,4,7.5,FALSE,7.9,No
1008,63,Male,Single,Bachelors,Engineering,QA Engineer,5,12673,1,6.6,16.7,23.2,0,2,Onsite,61,5.4,3,16,5.4,5.5,7.2,7,4,10,TRUE,3.7,No
1009,35,Female,Single,Bachelors,Finance,Accountant,2,4343,1,5.5,1.3,11.3,1.3,3,Remote,5,9,10,17,7.3,5.1,7.5,5.7,3,9.5,TRUE,4.8,No
1010,33,Female,Single,Bachelors,Sales,Sales Development Rep,2,5345,0,15,7.1,12,0.7,0,Hybrid,37,8.3,16,41,8.6,2.3,9.1,6.3,4,8.8,FALSE,5.5,No
1011,31,Male,Single,Bachelors,Research & Development,Research Scientist,2,6291,2,7.7,5.9,11,0,2,Hybrid,37,1.7,1,27,3.1,3.8,4.7,7.3,3,5.8,FALSE,5.6,No
1012,39,Male,Married,Bachelors,Customer Support,Customer Success Manager,3,3730,2,13.1,6.5,17,0.6,5,Onsite,41,9.9,6,21,4.4,6.3,5.1,4.7,4,10,TRUE,8.5,No
1013,24,Female,Divorced,Masters,Finance,Accountant,1,3549,0,10.9,0,0.1,0,1,Remote,4,2.1,5,30,9.4,4,7,7.6,4,9.6,TRUE,5.1,No
1014,22,Female,Single,High School,Operations,Program Manager,2,4388,1,15.3,1,2,1,3,Hybrid,87,0.9,19,13,7.9,1.6,7.7,7.9,4,7.7,FALSE,2.8,No
1015,21,Female,Married,Bachelors,Marketing,Growth Manager,3,5310,1,10.8,0,1,0,2,Hybrid,41,13.2,7,44,9,4,6.1,4.4,4,10,TRUE,4.5,No
1016,21,Female,Single,Masters,Customer Support,Support Specialist,2,3541,0,11.1,0,1,0,3,Hybrid,36,5.2,5,30,7.8,4.9,6.2,6.8,3,7.2,FALSE,7.3,No
